name,headline,is_outdoor,price_rating,booking_required,is_cardio,intimate,time_of_day,address_postcode,area_category,area_number,address_text,description,event_type,external_link,address_longitudinal,address_latitudinal,end_column_unused
The Four Quarters - Peckham,Play retro arcade video games and drink craft beer at this Peckham bar,2,2,1,2,1,3,SE15 4TP,Southeast,5,"187 Rye Ln, Peckham, London SE15 4TP, United Kingdom",,activity,http://geocities.fourquartersbar.co.uk/,0,0,1
The Four Quarters - Hackney Wick,Play retro arcade video games and drink craft beer at this Peckham bar,2,2,1,2,1,3,E20 3BS,East,3,"Queen Elizabeth Olympic Park, 8, Canalside, E Bay Ln, London E20 3BS, United Kingdom",,activity,http://geocities.fourquartersbar.co.uk/,0,0,1
ABQ Bar,"""Cook"" your own cocktails using experimental chemical techniques",2,3,1,2,1,3,E8 1DU,East,3,"18 Bohemia Pl, London E8 1DU, United Kingdom",,activity,http://abqlondon.com,0,0,1
Four Thieves,Play a virtual reality game or indoor mini golf and more at this quirky pub and arcade,2,2,1,2,1,3,SW11 1DJ,Southwest,6,"51 Lavender Gardens, London SW11 1DJ, United Kingdom",,activity,http://fourthieves.pub,0,0,1
Urban Golf - Farringdon,"Play a round of golf without stepping outside, at Urban Golf",2,2,1,2,1,3,EC1A 9LA,Central - East,1,"12 Smithfield St, Farringdon, London EC1A 9LA, United Kingdom",,activity,http://urbangolf.co.uk,0,0,1
Go Ape - Battersea,Try a thrilling treetop adventure of high ropes and zip wires,2,3,1,3,1,1,SW11 4NJ,Southwest,6,"Battersea Park, London SW11 4NJ, United Kingdom",,sport,http://goape.co.uk,0,0,1
Go Ape - Alexandra Palace,Try a thrilling treetop adventure of high ropes and zip wires,2,3,1,3,1,1,N22 7AY,North,7,"Alexandra Palace, Alexandra Palace Way, London N22 7AY, United Kingdom",,sport,http://goape.co.uk,0,0,1
Kayaking London,Kayak through London and enjoy the top sites,2,4,1,3,1,3,SW10 0QH,Southwest,6,"Cremorne Riverside Cremorne Gardens, Lots Rd, London SW10 0QH, United Kingdom",,sport,http://kayakinglondon.com,0,0,1
Up at the O2,Try a sunset climb up Greenwich's O2 venue for an unforgettable experience with beautiful views,2,4,1,3,2,3,SE10 0DX,Southeast,5,"Peninsula Square, Greenwich Peninsula, London SE10 0DX, United Kingdom",,sport,http://theo2.co.uk,0,0,1
Thames Rockets - Speedboating,Check out the London landscape riding at high-speed down the Thames River,2,3,1,2,2,1,SE1 7PB,Southeast,5,"Boarding Gate One, The London Eye Millennium Pier, London SE1 7PB, United Kingdom",,other,http://thamesrockets.com,0,0,1
The London Helicopter,Get a new perspective on London from the sky in a memorable helicopter ride,1,5,1,2,2,1,SW11 3BE,Southwest,6,"The POD Building, Bridges Ct Rd, Battersea, London SW11 3BE, United Kingdom",,other,https://www.thelondonhelicopter.com/,0,0,1
Lee Valley White Water Centre - Watersports,"Try kayaking, hydro-speeding, tubing or white-water rafting!",2,4,1,3,1,1,EN9 1AB,East,3,"Station Rd, Waltham Cross EN9 1AB, United Kingdom",,sport,http://gowhitewater.co.uk,0,0,1
